well_id,md_m,zone,gr_api,rhob_gcc,nphi_vv,dt_usft,dts_usft,rt_ohmm
WELL_01,2500.0,SEAL_TOP,118.97371322408986,2.623784669099477,0.056543392470720384,74.94570039873308,119.2600845059138,1.8426398520640574
WELL_01,2500.5,SEAL_TOP,127.63370252405913,2.578873739180009,0.07918586822882272,75.05871047853252,122.58554747710598,1.6991731779061852
WELL_01,2501.0,SEAL_TOP,116.93569817252828,2.597751058774508,0.01216799388355505,66.20045053541702,110.0708694494037,2.2325261498716444
WELL_01,2501.5,SEAL_TOP,107.7358073958303,2.6681219136230756,0.02469240746661771,67.06107054836302,114.64049689878655,1.2146856455633115
WELL_01,2502.0,SEAL_TOP,110.64493820379855,2.5741453620073824,0.06277306474274665,71.71171872195004,117.35468438745161,1.8058914863864874
WELL_01,2502.5,SEAL_TOP,110.18634710216483,2.5699323534220087,0.10630695461272344,71.34737898378098,128.63803581339153,1.3045418457378626
WELL_01,2503.0,SEAL_TOP,116.67090876003805,2.608539163600285,0.011008246903005607,67.98486248340204,116.88557473137807,2.1236282806984046
WELL_01,2503.5,SEAL_TOP,114.07481374089407,2.5736826445331134,0.05247240761026778,68.5433014238727,117.09007996662979,2.8954483217302283
WELL_01,2504.0,SEAL_TOP,117.74894631654769,2.6461591021479207,0.01592399611593165,67.00648863930886,112.02477344132943,2.4774600987771986
WELL_01,2504.5,SEAL_TOP,123.2479961799676,2.5665580596860056,0.08328200297790496,72.79791890171158,125.63891353973705,2.813946580545704
WELL_01,2505.0,SEAL_TOP,111.16660609723768,2.580822731462296,0.055358525583404566,67.27803346827743,122.12170253000502,3.21501232270115
WELL_01,2505.5,SEAL_TOP,114.42391902735733,2.5952246587907153,0.08508832244730061,71.21121669977047,124.67065219428633,3.426228106977184
WELL_01,2506.0,SEAL_TOP,114.71339168712039,2.5101693038512436,0.09911609139535016,75.95980228430136,125.44028890741626,1.8012747485620078
WELL_01,2506.5,SEAL_TOP,115.73408621228401,2.6367751199528286,0.010310777134977675,68.2394983351311,119.61209013835575,1.6682123502954933
WELL_01,2507.0,SEAL_TOP,108.5320511768545,2.637292997509762,0.04745607391038659,70.23428843511365,115.33005646981027,2.393581505565837
